   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.87734,             0.85618,             0.90656,             0.36246,            0.063606,             0.24304,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.023239,             0.47736,             0.61415,              18.202,             0.18685,            0.019833,             0.67089,          0.00041629,             0.47974,             0.33825,             0.71362,             0.34126,             0.78287,                   3
             0.81689,             0.82796,             0.85803,             0.32176,            0.064844,             0.25079,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.081144,             0.50021,             0.66859,              17.343,             0.83267,           0.0072082,              7.9369,          0.00011347,             0.17416,             0.17316,             0.53082,             0.91752,             0.80004,                   3
             0.77704,             0.77285,             0.78337,             0.22294,             0.07166,             0.24926,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0011518,              0.5423,             0.69541,              27.747,             0.42292,             0.12111,               2.432,          0.00045816,             0.07372,             0.51358,             0.77019,             0.58246,             0.77046,                   3
             0.72197,             0.77419,             0.82887,             0.38905,            0.066339,             0.26714,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.032463,             0.57232,             0.80412,              22.783,             0.13793,              0.5638,             0.26535,          0.00050889,             0.33945,             0.76269,             0.79504,             0.48099,            0.073693,                   3
             0.59429,             0.72043,             0.59843,             0.14224,            0.077348,             0.28244,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.030997,             0.85233,             0.54128,               31.88,             0.26347,             0.75343,              3.4614,           0.0009812,             0.91101,             0.93716,             0.92275,             0.84954,             0.85499,                   3
             0.76365,             0.75566,             0.74135,             0.20468,            0.071561,             0.25713,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.077636,             0.27754,             0.85811,              36.762,              0.2781,             0.26202,              0.8792,          0.00071929,             0.32721,             0.37823,            0.065668,             0.76497,             0.21845,                   3
             0.87004,             0.83199,             0.91982,             0.42644,            0.057616,             0.26096,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.001698,             0.88749,             0.55778,              3.6759,             0.85796,            0.083209,              2.2398,          0.00011582,             0.84018,             0.70824,            0.032404,             0.70248,            0.027987,                   3
              0.8554,             0.84279,             0.91002,             0.42279,            0.060831,             0.24983,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.092171,             0.40465,             0.88398,              6.6362,             0.34893,             0.34827,              3.2908,          8.2071e-05,             0.83108,             0.23159,             0.76643,             0.13082,             0.94298,                   3
             0.81109,              0.7957,             0.82319,             0.26641,            0.068794,             0.25406,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.076954,             0.49084,             0.27252,              33.496,             0.45285,             0.65184,             0.89766,          0.00046135,             0.67771,             0.50731,            0.088908,             0.41486,            0.040979,                   3
             0.58536,              0.5793,             0.43244,            0.080158,            0.080513,             0.25221,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0095206,             0.88332,               0.215,              44.115,             0.28281,            0.036581,              7.3898,          1.8036e-05,             0.53394,               0.149,             0.79702,             0.67476,            0.098843,                   3
             0.73357,              0.7957,             0.81892,             0.36045,            0.066292,             0.24849,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.021648,             0.24257,              0.8422,              10.301,            0.096052,             0.46792,             0.99089,          0.00091513,             0.24361,            0.072085,             0.73852,             0.63559,             0.49177,                   3
             0.82001,             0.81855,             0.87453,             0.39322,            0.060404,             0.25451,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.003061,             0.11208,             0.37816,              6.2814,             0.44118,             0.80972,              1.8306,          0.00072128,            0.080198,             0.53078,             0.39256,             0.28168,             0.86761,                   3
             0.88096,             0.84546,              0.9202,             0.39176,            0.060768,             0.25269,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.038265,             0.40149,             0.59147,              20.725,             0.59092,              0.1795,              6.4677,          0.00042396,             0.12693,             0.30131,             0.06445,             0.40366,             0.57084,                   3
             0.77751,              0.8293,             0.86071,             0.39369,              0.0623,             0.25834,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.036181,             0.83824,             0.65516,              8.7006,             0.42637,              0.6519,             0.95567,          0.00015275,             0.12264,             0.25957,             0.41397,             0.89269,             0.56659,                   3
             0.83384,             0.79973,             0.78196,             0.20472,            0.070373,             0.24991,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.015424,             0.29358,             0.41449,              28.182,             0.36831,             0.11219,              3.0678,          0.00036878,             0.89082,              0.5918,             0.49054,             0.43515,            0.095759,                   3
             0.84137,             0.82527,             0.81604,             0.24326,            0.069176,             0.25196,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.015403,             0.51108,             0.47847,              33.702,             0.63385,            0.074367,              6.1814,          8.4667e-05,             0.23348,             0.17335,             0.77549,             0.32812,            0.068623,                   3
             0.52919,             0.45968,             0.37479,            0.064244,            0.083099,             0.25051,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.016726,             0.51103,            0.044139,              35.235,             0.37042,             0.15273,              4.9691,          0.00031967,             0.57988,             0.20063,             0.21649,             0.92476,             0.65477,                   3
             0.80959,             0.81722,              0.8599,             0.26365,            0.067975,              0.2581,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.074352,             0.59953,             0.60693,              21.132,             0.68469,              0.1647,               2.821,          7.1217e-06,             0.66001,            0.051833,             0.63103,             0.95149,             0.19971,                   3
             0.80615,             0.81051,             0.85577,             0.35706,            0.063596,             0.25725,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.032665,             0.35682,             0.86181,              16.724,             0.59051,             0.39159,               6.581,          0.00085671,              0.3365,             0.13951,             0.90177,             0.18391,             0.56107,                   3
